,technology,plant_state,operating_year,nameplate_cap
1289,Conventional Hydroelectric,WI,1915,9.8
1290,Conventional Hydroelectric,WI,1916,5.0
1291,Conventional Hydroelectric,WI,1917,52.79999999999999
1292,Conventional Hydroelectric,WI,1918,5.1
1293,Conventional Hydroelectric,WI,1919,3.3
1294,Conventional Hydroelectric,WI,1920,12.799999999999999
1295,Conventional Hydroelectric,WI,1921,9.700000000000001
1296,Conventional Hydroelectric,WI,1922,13.399999999999999
1297,Conventional Hydroelectric,WI,1923,15.600000000000001
1298,Conventional Hydroelectric,WI,1924,20.2
1299,Conventional Hydroelectric,WI,1925,8.0
1300,Conventional Hydroelectric,WI,1926,9.899999999999999
1301,Conventional Hydroelectric,WI,1927,3.5999999999999996
1302,Conventional Hydroelectric,WI,1928,21.6
1303,Conventional Hydroelectric,WI,1929,0.7999999999999999
1304,Conventional Hydroelectric,WI,1930,1.5
1305,Conventional Hydroelectric,WI,1935,2.5
1306,Conventional Hydroelectric,WI,1937,2.5
1307,Conventional Hydroelectric,WI,1938,28.400000000000002
1308,Conventional Hydroelectric,WI,1939,3.1
1309,Conventional Hydroelectric,WI,1940,12.200000000000001
1310,Conventional Hydroelectric,WI,1942,10.4
1311,Conventional Hydroelectric,WI,1943,0.4
1312,Conventional Hydroelectric,WI,1946,0.4
1313,Conventional Hydroelectric,WI,1948,3.3000000000000003
1314,Conventional Hydroelectric,WI,1949,16.0
1315,Conventional Hydroelectric,WI,1950,52.20000000000001
1316,Conventional Hydroelectric,WI,1951,25.0
1317,Conventional Hydroelectric,WI,1958,5.4
1318,Conventional Hydroelectric,WI,1963,1.2
1319,Conventional Hydroelectric,WI,1966,0.4
1320,Conventional Hydroelectric,WI,1967,0.4
1321,Conventional Hydroelectric,WI,1968,0.4
1322,Conventional Hydroelectric,WI,1971,3.2
1323,Conventional Hydroelectric,WI,1973,0.2
1324,Conventional Hydroelectric,WI,1976,34.5
1325,Conventional Hydroelectric,WI,1977,1.4
1326,Conventional Hydroelectric,WI,1980,1.2
1327,Conventional Hydroelectric,WI,1983,1.6
1328,Conventional Hydroelectric,WI,1984,2.4
1329,Conventional Hydroelectric,WI,1986,3.4000000000000004
1330,Conventional Hydroelectric,WI,1988,66.3
1331,Conventional Hydroelectric,WI,1993,2.5
1332,Conventional Hydroelectric,WI,2014,8.2
1333,Conventional Hydroelectric,WI,2016,9.2
1334,Conventional Hydroelectric,WV,1909,1.0
1335,Conventional Hydroelectric,WV,1912,2.4
1336,Conventional Hydroelectric,WV,1913,0.8
1337,Conventional Hydroelectric,WV,1917,3.8
1338,Conventional Hydroelectric,WV,1919,1.0
1339,Conventional Hydroelectric,WV,1935,28.8
1340,Conventional Hydroelectric,WV,1936,102.0
1341,Conventional Hydroelectric,WV,1938,25.5
1342,Conventional Hydroelectric,WV,1939,1.0
1343,Conventional Hydroelectric,WV,1988,37.4
1344,Conventional Hydroelectric,WV,1991,0.9
1345,Conventional Hydroelectric,WV,1999,42.0
1346,Conventional Hydroelectric,WV,2001,80.0
1347,Conventional Hydroelectric,WV,2016,44.0
1348,Conventional Hydroelectric,WY,1922,3.0
1349,Conventional Hydroelectric,WY,1925,0.8
1350,Conventional Hydroelectric,WY,1927,3.2
1351,Conventional Hydroelectric,WY,1928,3.2
1352,Conventional Hydroelectric,WY,1929,0.8
1353,Conventional Hydroelectric,WY,1939,51.599999999999994
1354,Conventional Hydroelectric,WY,1940,1.0
1355,Conventional Hydroelectric,WY,1948,5.0
1356,Conventional Hydroelectric,WY,1950,24.0
1357,Conventional Hydroelectric,WY,1951,12.5
1358,Conventional Hydroelectric,WY,1952,15.0
1359,Conventional Hydroelectric,WY,1955,41.4
1360,Conventional Hydroelectric,WY,1958,19.0
1361,Conventional Hydroelectric,WY,1959,19.0
1362,Conventional Hydroelectric,WY,1960,33.4
1363,Conventional Hydroelectric,WY,1961,33.4
1364,Conventional Hydroelectric,WY,1968,10.0
1365,Conventional Hydroelectric,WY,1983,2.9
1366,Conventional Hydroelectric,WY,1992,18.0
1367,Conventional Hydroelectric,WY,1994,4.5
1368,Conventional Hydroelectric,WY,2009,0.8
1369,Conventional Hydroelectric,WY,2010,0.8999999999999999
1370,Conventional Steam Coal,AK,1952,12.5
1371,Conventional Steam Coal,AK,1955,20.0
1372,Conventional Steam Coal,AK,1964,3.0
1373,Conventional Steam Coal,AK,1967,28.0
1374,Conventional Steam Coal,AK,1969,5.0
1375,Conventional Steam Coal,AK,1975,20.0
1376,Conventional Steam Coal,AK,1981,10.0
1377,Conventional Steam Coal,AK,1987,10.0
1378,Conventional Steam Coal,AK,1989,5.0
1379,Conventional Steam Coal,AK,1998,62.0
1380,Conventional Steam Coal,AL,1956,187.5
1381,Conventional Steam Coal,AL,1958,190.4
1382,Conventional Steam Coal,AL,1969,469.7
1383,Conventional Steam Coal,AL,1971,788.8
1384,Conventional Steam Coal,AL,1972,788.8
1385,Conventional Steam Coal,AL,1974,952.0
1386,Conventional Steam Coal,AL,1978,941.5
1387,Conventional Steam Coal,AL,1980,236.0
1388,Conventional Steam Coal,AL,1985,705.5
1389,Conventional Steam Coal,AL,1989,705.5
1390,Conventional Steam Coal,AL,1991,705.5
1391,Conventional Steam Coal,AR,1978,558.0
1392,Conventional Steam Coal,AR,1980,900.0
1393,Conventional Steam Coal,AR,1981,900.0
1394,Conventional Steam Coal,AR,1983,900.0
1395,Conventional Steam Coal,AR,1984,900.0
1396,Conventional Steam Coal,AR,2010,720.0
1397,Conventional Steam Coal,AR,2012,609.0
1398,Conventional Steam Coal,AZ,1962,113.6
1399,Conventional Steam Coal,AZ,1974,803.1
1400,Conventional Steam Coal,AZ,1975,803.1
1401,Conventional Steam Coal,AZ,1976,803.1
1402,Conventional Steam Coal,AZ,1979,614.9
1403,Conventional Steam Coal,AZ,1980,723.2
1404,Conventional Steam Coal,AZ,1981,414.0
1405,Conventional Steam Coal,AZ,1985,424.8
1406,Conventional Steam Coal,AZ,1990,424.8
1407,Conventional Steam Coal,AZ,2006,458.1
1408,Conventional Steam Coal,AZ,2009,458.1
1409,Conventional Steam Coal,CA,1947,7.5
1410,Conventional Steam Coal,CA,1978,55.0
1411,Conventional Steam Coal,CO,1947,3.0
1412,Conventional Steam Coal,CO,1959,34.5
1413,Conventional Steam Coal,CO,1965,190.0
1414,Conventional Steam Coal,CO,1968,75.0
1415,Conventional Steam Coal,CO,1973,382.5
1416,Conventional Steam Coal,CO,1974,132.3
1417,Conventional Steam Coal,CO,1975,396.0
1418,Conventional Steam Coal,CO,1976,275.4
1419,Conventional Steam Coal,CO,1979,446.4
1420,Conventional Steam Coal,CO,1980,653.4
1421,Conventional Steam Coal,CO,1981,552.3
1422,Conventional Steam Coal,CO,1984,828.4
1423,Conventional Steam Coal,CO,1991,79.3
1424,Conventional Steam Coal,CO,2010,856.8
1425,Conventional Steam Coal,CT,1968,400.0
1426,Conventional Steam Coal,DE,1980,445.5
1427,Conventional Steam Coal,FL,1959,93.7
1428,Conventional Steam Coal,FL,1961,93.7
1429,Conventional Steam Coal,FL,1966,297.5
1430,Conventional Steam Coal,FL,1970,815.2
1431,Conventional Steam Coal,FL,1972,297.5
1432,Conventional Steam Coal,FL,1973,1023.5
1433,Conventional Steam Coal,FL,1976,445.5
1434,Conventional Steam Coal,FL,1981,250.7
1435,Conventional Steam Coal,FL,1982,1103.0
1436,Conventional Steam Coal,FL,1984,2211.0
1437,Conventional Steam Coal,FL,1985,486.0
1438,Conventional Steam Coal,FL,1987,464.5
1439,Conventional Steam Coal,FL,1995,395.4
1440,Conventional Steam Coal,FL,1996,464.5
1441,Conventional Steam Coal,GA,1954,250.0
1442,Conventional Steam Coal,GA,1955,125.0
1443,Conventional Steam Coal,GA,1970,578.0
1444,Conventional Steam Coal,GA,1971,805.8
1445,Conventional Steam Coal,GA,1972,788.8
1446,Conventional Steam Coal,GA,1974,952.0
1447,Conventional Steam Coal,GA,1975,952.0
1448,Conventional Steam Coal,GA,1976,952.0
1449,Conventional Steam Coal,GA,1978,952.0
1450,Conventional Steam Coal,GA,1979,177.6
1451,Conventional Steam Coal,GA,1982,891.0
1452,Conventional Steam Coal,GA,1984,891.0
1453,Conventional Steam Coal,GA,1987,891.0
1454,Conventional Steam Coal,GA,1989,891.0
1455,Conventional Steam Coal,HI,1992,203.0
1456,Conventional Steam Coal,IA,1947,3.0
1457,Conventional Steam Coal,IA,1956,3.0
1458,Conventional Steam Coal,IA,1958,75.0
1459,Conventional Steam Coal,IA,1960,6.2
1460,Conventional Steam Coal,IA,1968,212.0
1461,Conventional Steam Coal,IA,1969,75.0
1462,Conventional Steam Coal,IA,1970,11.5
1463,Conventional Steam Coal,IA,1974,15.0
1464,Conventional Steam Coal,IA,1975,584.1
1465,Conventional Steam Coal,IA,1977,274.5
1466,Conventional Steam Coal,IA,1978,739.0
1467,Conventional Steam Coal,IA,1979,695.9
1468,Conventional Steam Coal,IA,1981,725.9
1469,Conventional Steam Coal,IA,1983,987.4
1470,Conventional Steam Coal,IA,1988,131.9
1471,Conventional Steam Coal,IA,1995,31.0
1472,Conventional Steam Coal,IA,1997,14.6
1473,Conventional Steam Coal,IA,2000,119.1
1474,Conventional Steam Coal,IA,2005,15.1
1475,Conventional Steam Coal,IA,2007,922.5
1476,Conventional Steam Coal,IA,2009,180.0
1477,Conventional Steam Coal,ID,1948,4.0
1478,Conventional Steam Coal,ID,1994,6.2
1479,Conventional Steam Coal,IL,1953,441.6
1480,Conventional Steam Coal,IL,1954,366.6
1481,Conventional Steam Coal,IL,1955,366.6
1482,Conventional Steam Coal,IL,1958,326.4
1483,Conventional Steam Coal,IL,1959,231.3
1484,Conventional Steam Coal,IL,1962,355.3
1485,Conventional Steam Coal,IL,1963,697.4
1486,Conventional Steam Coal,IL,1965,388.9
1487,Conventional Steam Coal,IL,1967,659.5
1488,Conventional Steam Coal,IL,1968,1030.2
1489,Conventional Steam Coal,IL,1970,625.1
1490,Conventional Steam Coal,IL,1972,1963.3
1491,Conventional Steam Coal,IL,1973,634.5
1492,Conventional Steam Coal,IL,1975,1527.3
1493,Conventional Steam Coal,IL,1976,441.0
1494,Conventional Steam Coal,IL,1977,617.4
1495,Conventional Steam Coal,IL,1978,868.3
1496,Conventional Steam Coal,IL,1987,124.0
1497,Conventional Steam Coal,IL,1989,64.8
1498,Conventional Steam Coal,IL,1991,45.0
1499,Conventional Steam Coal,IL,1994,31.0
1500,Conventional Steam Coal,IL,1997,75.0
1501,Conventional Steam Coal,IL,1998,3.5
1502,Conventional Steam Coal,IL,2005,105.0
1503,Conventional Steam Coal,IL,2009,230.1
1504,Conventional Steam Coal,IL,2012,1766.0
1505,Conventional Steam Coal,IN,1955,1131.0
1506,Conventional Steam Coal,IN,1956,219.3
1507,Conventional Steam Coal,IN,1958,150.0
1508,Conventional Steam Coal,IN,1960,166.6
1509,Conventional Steam Coal,IN,1961,150.0
1510,Conventional Steam Coal,IN,1964,166.6
1511,Conventional Steam Coal,IN,1965,179.2
1512,Conventional Steam Coal,IN,1966,103.7
1513,Conventional Steam Coal,IN,1967,286.6
1514,Conventional Steam Coal,IN,1969,523.3
1515,Conventional Steam Coal,IN,1970,854.0
1516,Conventional Steam Coal,IN,1972,531.0
1517,Conventional Steam Coal,IN,1973,326.09999999999997
1518,Conventional Steam Coal,IN,1974,540.0
1519,Conventional Steam Coal,IN,1975,667.9
1520,Conventional Steam Coal,IN,1976,1207.9
1521,Conventional Steam Coal,IN,1977,670.9
1522,Conventional Steam Coal,IN,1978,667.9
1523,Conventional Steam Coal,IN,1979,1489.5
1524,Conventional Steam Coal,IN,1982,1207.9
1525,Conventional Steam Coal,IN,1983,963.5
1526,Conventional Steam Coal,IN,1984,1300.0
1527,Conventional Steam Coal,IN,1986,1359.6000000000001
1528,Conventional Steam Coal,IN,1989,1300.0
1529,Conventional Steam Coal,IN,2000,9.4
1530,Conventional Steam Coal,KS,1960,114.0
1531,Conventional Steam Coal,KS,1971,403.0
1532,Conventional Steam Coal,KS,1973,873.0
1533,Conventional Steam Coal,KS,1977,725.9
1534,Conventional Steam Coal,KS,1978,720.0
1535,Conventional Steam Coal,KS,1980,720.0
1536,Conventional Steam Coal,KS,1981,261.0
1537,Conventional Steam Coal,KS,1983,1068.7
1538,Conventional Steam Coal,KY,1953,525.0
1539,Conventional Steam Coal,KY,1954,700.0
1540,Conventional Steam Coal,KY,1955,350.0
1541,Conventional Steam Coal,KY,1957,113.6
1542,Conventional Steam Coal,KY,1963,179.5
1543,Conventional Steam Coal,KY,1964,163.2
1544,Conventional Steam Coal,KY,1965,113.6
1545,Conventional Steam Coal,KY,1966,96.0
1546,Conventional Steam Coal,KY,1969,435.4
1547,Conventional Steam Coal,KY,1970,1355.2
1548,Conventional Steam Coal,KY,1971,656.0
1549,Conventional Steam Coal,KY,1972,355.5
1550,Conventional Steam Coal,KY,1973,200.0
1551,Conventional Steam Coal,KY,1974,1399.5
1552,Conventional Steam Coal,KY,1977,913.9
1553,Conventional Steam Coal,KY,1978,462.6
1554,Conventional Steam Coal,KY,1979,293.0
1555,Conventional Steam Coal,KY,1981,2213.6
1556,Conventional Steam Coal,KY,1982,543.6
1557,Conventional Steam Coal,KY,1984,1065.6
1558,Conventional Steam Coal,KY,1990,566.1
1559,Conventional Steam Coal,KY,2005,329.4
1560,Conventional Steam Coal,KY,2009,329.4
1561,Conventional Steam Coal,KY,2011,834.0
1562,Conventional Steam Coal,LA,1981,657.9
1563,Conventional Steam Coal,LA,1982,1172.6
1564,Conventional Steam Coal,LA,1983,619.0
1565,Conventional Steam Coal,LA,1986,720.7
1566,Conventional Steam Coal,MD,1958,35.0
1567,Conventional Steam Coal,MD,1959,332.0
1568,Conventional Steam Coal,MD,1960,196.0
1569,Conventional Steam Coal,MD,1962,196.0
1570,Conventional Steam Coal,MD,1964,364.0
1571,Conventional Steam Coal,MD,1965,364.0
1572,Conventional Steam Coal,MD,1966,359.0
1573,Conventional Steam Coal,MD,1970,626.0
1574,Conventional Steam Coal,MD,1971,626.0
1575,Conventional Steam Coal,MD,1979,30.0
1576,Conventional Steam Coal,MD,1984,685.0
1577,Conventional Steam Coal,MD,1991,685.0
1578,Conventional Steam Coal,MD,1999,229.0
1579,Conventional Steam Coal,MI,1930,6.2
1580,Conventional Steam Coal,MI,1953,324.9
1581,Conventional Steam Coal,MI,1954,156.2
1582,Conventional Steam Coal,MI,1958,358.1
1583,Conventional Steam Coal,MI,1959,272.0
1584,Conventional Steam Coal,MI,1961,624.7
1585,Conventional Steam Coal,MI,1962,265.2
1586,Conventional Steam Coal,MI,1964,80.0
1587,Conventional Steam Coal,MI,1967,391.3
1588,Conventional Steam Coal,MI,1968,615.5
1589,Conventional Steam Coal,MI,1969,544.5
1590,Conventional Steam Coal,MI,1970,80.0
1591,Conventional Steam Coal,MI,1971,817.2
1592,Conventional Steam Coal,MI,1972,21.0
1593,Conventional Steam Coal,MI,1973,1799.9
1594,Conventional Steam Coal,MI,1974,907.2
1595,Conventional Steam Coal,MI,1975,90.0
1596,Conventional Steam Coal,MI,1978,180.0
1597,Conventional Steam Coal,MI,1979,91.0
1598,Conventional Steam Coal,MI,1980,916.8
1599,Conventional Steam Coal,MI,1983,124.0
1600,Conventional Steam Coal,MI,1984,697.5
1601,Conventional Steam Coal,MI,1985,697.5
1602,Conventional Steam Coal,MI,1990,71.5
1603,Conventional Steam Coal,MN,1948,3.0
1604,Conventional Steam Coal,MN,1954,3.5
1605,Conventional Steam Coal,MN,1955,50.0
1606,Conventional Steam Coal,MN,1957,168.0
1607,Conventional Steam Coal,MN,1958,598.4
1608,Conventional Steam Coal,MN,1959,54.4
1609,Conventional Steam Coal,MN,1961,2.0
1610,Conventional Steam Coal,MN,1962,81.6
1611,Conventional Steam Coal,MN,1964,75.0
1612,Conventional Steam Coal,MN,1965,10.0
1613,Conventional Steam Coal,MN,1973,364.5
1614,Conventional Steam Coal,MN,1975,3.0
1615,Conventional Steam Coal,MN,1976,772.8
1616,Conventional Steam Coal,MN,1977,765.3
1617,Conventional Steam Coal,MN,1980,558.0
1618,Conventional Steam Coal,MN,1985,19.5
1619,Conventional Steam Coal,MN,1987,944.8000000000001
1620,Conventional Steam Coal,MN,1990,7.5
1621,Conventional Steam Coal,MN,1996,6.4
1622,Conventional Steam Coal,MO,1959,289.0
1623,Conventional Steam Coal,MO,1961,359.0
1624,Conventional Steam Coal,MO,1965,22.0
1625,Conventional Steam Coal,MO,1966,171.7
1626,Conventional Steam Coal,MO,1967,549.7
1627,Conventional Steam Coal,MO,1968,549.7
1628,Conventional Steam Coal,MO,1969,841.0
1629,Conventional Steam Coal,MO,1970,786.5
1630,Conventional Steam Coal,MO,1971,573.7
1631,Conventional Steam Coal,MO,1972,1271.0
1632,Conventional Steam Coal,MO,1973,621.0
1633,Conventional Steam Coal,MO,1976,815.0
1634,Conventional Steam Coal,MO,1977,1271.0
1635,Conventional Steam Coal,MO,1980,726.0
1636,Conventional Steam Coal,MO,1981,261.0
1637,Conventional Steam Coal,MO,1982,738.0
1638,Conventional Steam Coal,MO,2010,999.0
1639,Conventional Steam Coal,MO,2011,300.0
1640,Conventional Steam Coal,MS,1977,548.3
1641,Conventional Steam Coal,MS,1981,548.3
1642,Conventional Steam Coal,MS,2001,513.7
1643,Conventional Steam Coal,MT,1950,4.0
1644,Conventional Steam Coal,MT,1958,50.0
1645,Conventional Steam Coal,MT,1975,358.0
1646,Conventional Steam Coal,MT,1976,358.0
1647,Conventional Steam Coal,MT,1984,823.7
1648,Conventional Steam Coal,MT,1986,823.7
1649,Conventional Steam Coal,MT,1990,46.1
1650,Conventional Steam Coal,MT,2006,115.7
1651,Conventional Steam Coal,MT,2011,1.5
1652,Conventional Steam Coal,NC,1937,7.5
1653,Conventional Steam Coal,NC,1941,7.5
1654,Conventional Steam Coal,NC,1946,7.5
1655,Conventional Steam Coal,NC,1949,7.5
1656,Conventional Steam Coal,NC,1952,10.0
1657,Conventional Steam Coal,NC,1957,326.4
1658,Conventional Steam Coal,NC,1959,272.0
1659,Conventional Steam Coal,NC,1960,278.0
1660,Conventional Steam Coal,NC,1961,272.0
1661,Conventional Steam Coal,NC,1964,206.6
1662,Conventional Steam Coal,NC,1965,348.5
1663,Conventional Steam Coal,NC,1966,759.3
1664,Conventional Steam Coal,NC,1968,657.0
1665,Conventional Steam Coal,NC,1969,711.0
1666,Conventional Steam Coal,NC,1970,711.0
1667,Conventional Steam Coal,NC,1971,207.0
1668,Conventional Steam Coal,NC,1972,621.0
1669,Conventional Steam Coal,NC,1973,745.2
1670,Conventional Steam Coal,NC,1974,1245.6
1671,Conventional Steam Coal,NC,1975,1245.6
1672,Conventional Steam Coal,NC,1979,12.5
1673,Conventional Steam Coal,NC,1980,745.2
1674,Conventional Steam Coal,NC,1983,763.2
1675,Conventional Steam Coal,NC,1990,114.8
1676,Conventional Steam Coal,NC,1991,28.0
1677,Conventional Steam Coal,NC,2012,909.5
1678,Conventional Steam Coal,ND,1954,40.0
1679,Conventional Steam Coal,ND,1963,75.0
1680,Conventional Steam Coal,ND,1965,6.0
1681,Conventional Steam Coal,ND,1966,216.0
1682,Conventional Steam Coal,ND,1970,257.0
1683,Conventional Steam Coal,ND,1975,440.0
1684,Conventional Steam Coal,ND,1977,477.0
1685,Conventional Steam Coal,ND,1979,604.8
1686,Conventional Steam Coal,ND,1980,604.8
1687,Conventional Steam Coal,ND,1981,450.0
1688,Conventional Steam Coal,ND,1984,477.0
1689,Conventional Steam Coal,ND,1986,477.0
1690,Conventional Steam Coal,ND,1990,13.3
1691,Conventional Steam Coal,ND,2014,106.2
1692,Conventional Steam Coal,NE,1957,16.5
1693,Conventional Steam Coal,NE,1961,108.8
1694,Conventional Steam Coal,NE,1963,158.0
1695,Conventional Steam Coal,NE,1965,119.9
1696,Conventional Steam Coal,NE,1968,217.6
1697,Conventional Steam Coal,NE,1976,91.5
1698,Conventional Steam Coal,NE,1979,1332.9
1699,Conventional Steam Coal,NE,1981,76.3
1700,Conventional Steam Coal,NE,1982,791.0999999999999
1701,Conventional Steam Coal,NE,1987,5.0
1702,Conventional Steam Coal,NE,1988,7.9
1703,Conventional Steam Coal,NE,2009,738.0
1704,Conventional Steam Coal,NE,2010,71.4
1705,Conventional Steam Coal,NE,2011,248.0
1706,Conventional Steam Coal,NH,1952,50.0
1707,Conventional Steam Coal,NH,1957,50.0
1708,Conventional Steam Coal,NH,1960,113.6
1709,Conventional Steam Coal,NH,1968,345.6
1710,Conventional Steam Coal,NJ,1964,163.2
1711,Conventional Steam Coal,NJ,1994,527.3
1712,Conventional Steam Coal,NM,1969,818.1
1713,Conventional Steam Coal,NM,1970,818.1
1714,Conventional Steam Coal,NM,1976,369.0
1715,Conventional Steam Coal,NM,1982,555.0
1716,Conventional Steam Coal,NM,1984,257.0
1717,Conventional Steam Coal,NV,1981,277.2
1718,Conventional Steam Coal,NV,1985,289.8
1719,Conventional Steam Coal,NV,2008,242.0
1720,Conventional Steam Coal,NY,1950,192.0
1721,Conventional Steam Coal,NY,1954,12.5
1722,Conventional Steam Coal,NY,1955,155.3
1723,Conventional Steam Coal,NY,1958,167.2
1724,Conventional Steam Coal,NY,1959,217.6
1725,Conventional Steam Coal,NY,1960,217.6
1726,Conventional Steam Coal,NY,1964,25.6
1727,Conventional Steam Coal,NY,1967,25.6
1728,Conventional Steam Coal,NY,1968,15.0
1729,Conventional Steam Coal,NY,1969,25.6
1730,Conventional Steam Coal,NY,1984,655.1
1731,Conventional Steam Coal,NY,1987,25.6
1732,Conventional Steam Coal,NY,2015,3.0
1733,Conventional Steam Coal,OH,1949,12.5
1734,Conventional Steam Coal,OH,1953,7.5
1735,Conventional Steam Coal,OH,1954,8.0
1736,Conventional Steam Coal,OH,1955,1094.0
1737,Conventional Steam Coal,OH,1959,190.4
1738,Conventional Steam Coal,OH,1960,190.4
1739,Conventional Steam Coal,OH,1961,212.4
1740,Conventional Steam Coal,OH,1962,190.4
1741,Conventional Steam Coal,OH,1965,16.5
1742,Conventional Steam Coal,OH,1967,1564.4
1743,Conventional Steam Coal,OH,1968,19.5
1744,Conventional Steam Coal,OH,1969,680.0
1745,Conventional Steam Coal,OH,1970,680.0
1746,Conventional Steam Coal,OH,1971,705.0
1747,Conventional Steam Coal,OH,1973,841.5
1748,Conventional Steam Coal,OH,1974,1300.0
1749,Conventional Steam Coal,OH,1975,1857.1
1750,Conventional Steam Coal,OH,1976,443.9
1751,Conventional Steam Coal,OH,1977,650.0
1752,Conventional Steam Coal,OH,1978,1001.6
1753,Conventional Steam Coal,OH,1986,7.5
1754,Conventional Steam Coal,OH,1990,22.0
1755,Conventional Steam Coal,OH,1991,1425.6
1756,Conventional Steam Coal,OK,1977,572.0
1757,Conventional Steam Coal,OK,1978,572.0
1758,Conventional Steam Coal,OK,1979,1067.0
1759,Conventional Steam Coal,OK,1980,613.5
1760,Conventional Steam Coal,OK,1982,490.5
1761,Conventional Steam Coal,OK,1984,572.0
1762,Conventional Steam Coal,OK,1985,594.0
1763,Conventional Steam Coal,OK,1990,350.0
1764,Conventional Steam Coal,OR,1980,642.2
1765,Conventional Steam Coal,PA,1961,363.3
1766,Conventional Steam Coal,PA,1967,936.0
1767,Conventional Steam Coal,PA,1968,936.0
1768,Conventional Steam Coal,PA,1969,1320.0
1769,Conventional Steam Coal,PA,1970,1612.5
1770,Conventional Steam Coal,PA,1971,975.5
1771,Conventional Steam Coal,PA,1972,864.9
1772,Conventional Steam Coal,PA,1973,910.2
1773,Conventional Steam Coal,PA,1976,913.7
1774,Conventional Steam Coal,PA,1977,1605.7
1775,Conventional Steam Coal,PA,1980,913.7
1776,Conventional Steam Coal,PA,1987,36.0
1777,Conventional Steam Coal,PA,1988,136.4
1778,Conventional Steam Coal,PA,1989,45.9
1779,Conventional Steam Coal,PA,1990,204.10000000000002
1780,Conventional Steam Coal,PA,1991,98.0
1781,Conventional Steam Coal,PA,1992,94.0
1782,Conventional Steam Coal,PA,1993,94.7
1783,Conventional Steam Coal,PA,1995,252.1
1784,Conventional Steam Coal,PA,2004,585.0
1785,Conventional Steam Coal,SC,1957,28.0
1786,Conventional Steam Coal,SC,1970,385.9
1787,Conventional Steam Coal,SC,1971,385.9
1788,Conventional Steam Coal,SC,1973,659.7
1789,Conventional Steam Coal,SC,1975,315.0
1790,Conventional Steam Coal,SC,1977,315.0
1791,Conventional Steam Coal,SC,1980,315.0
1792,Conventional Steam Coal,SC,1981,315.0
1793,Conventional Steam Coal,SC,1984,556.2
1794,Conventional Steam Coal,SC,1995,590.9
1795,Conventional Steam Coal,SC,1996,417.3
1796,Conventional Steam Coal,SC,2007,591.0
1797,Conventional Steam Coal,SC,2008,652.0
1798,Conventional Steam Coal,SD,1975,450.0
1799,Conventional Steam Coal,TN,1936,6.0
1800,Conventional Steam Coal,TN,1939,6.0
1801,Conventional Steam Coal,TN,1941,6.0
1802,Conventional Steam Coal,TN,1946,6.0
1803,Conventional Steam Coal,TN,1949,6.0
1804,Conventional Steam Coal,TN,1953,6.0
1805,Conventional Steam Coal,TN,1954,700.0
1806,Conventional Steam Coal,TN,1955,1000.0
1807,Conventional Steam Coal,TN,1956,300.0
1808,Conventional Steam Coal,TN,1957,300.0
1809,Conventional Steam Coal,TN,1959,655.2
1810,Conventional Steam Coal,TN,1960,7.0
1811,Conventional Steam Coal,TN,1962,10.0
1812,Conventional Steam Coal,TN,1963,7.5
1813,Conventional Steam Coal,TN,1966,10.4
1814,Conventional Steam Coal,TN,1967,950.0
1815,Conventional Steam Coal,TN,1972,10.4
1816,Conventional Steam Coal,TN,1973,2600.0
1817,Conventional Steam Coal,TN,1982,15.4
1818,Conventional Steam Coal,TN,1994,34.6
1819,Conventional Steam Coal,TX,1976,360.0
1820,Conventional Steam Coal,TX,1977,2571.3
1821,Conventional Steam Coal,TX,1978,2333.3
1822,Conventional Steam Coal,TX,1979,1408.2
1823,Conventional Steam Coal,TX,1980,2212.0
1824,Conventional Steam Coal,TX,1982,2189.9
1825,Conventional Steam Coal,TX,1983,453.5
1826,Conventional Steam Coal,TX,1985,2181.9
1827,Conventional Steam Coal,TX,1986,1676.8
1828,Conventional Steam Coal,TX,1988,460.0
1829,Conventional Steam Coal,TX,1990,174.6
1830,Conventional Steam Coal,TX,1991,174.6
1831,Conventional Steam Coal,TX,1992,566.0
1832,Conventional Steam Coal,TX,2010,1794.8
1833,Conventional Steam Coal,TX,2011,878.6
1834,Conventional Steam Coal,TX,2013,1008.0
1835,Conventional Steam Coal,UT,1958,82.0
1836,Conventional Steam Coal,UT,1974,496.0
1837,Conventional Steam Coal,UT,1977,541.3
1838,Conventional Steam Coal,UT,1978,525.0
1839,Conventional Steam Coal,UT,1980,525.0
1840,Conventional Steam Coal,UT,1983,527.2
1841,Conventional Steam Coal,UT,1986,1319.5
1842,Conventional Steam Coal,UT,1987,820.0
1843,Conventional Steam Coal,UT,1993,58.1
1844,Conventional Steam Coal,VA,1951,10.5
1845,Conventional Steam Coal,VA,1952,112.5
1846,Conventional Steam Coal,VA,1957,187.5
1847,Conventional Steam Coal,VA,1959,187.5
1848,Conventional Steam Coal,VA,1960,187.5
1849,Conventional Steam Coal,VA,1964,359.0
1850,Conventional Steam Coal,VA,1969,693.9
1851,Conventional Steam Coal,VA,1988,114.8
1852,Conventional Steam Coal,VA,1989,34.0
1853,Conventional Steam Coal,VA,1992,369.4
1854,Conventional Steam Coal,VA,1995,424.0
1855,Conventional Steam Coal,VA,1996,682.3
1856,Conventional Steam Coal,VA,2012,668.0
1857,Conventional Steam Coal,WA,1972,729.9
1858,Conventional Steam Coal,WA,1973,729.9
1859,Conventional Steam Coal,WI,1958,9.3
1860,Conventional Steam Coal,WI,1959,299.2
